Gene_ID	Control_1	Control_2	Control_3	Control_4	PDX_1	PDX_2	PDX_3	PDX_4
ENSMUSG00000000326	13.190891	15.199105	13.275675	15.709608	15.983522	12.866205	12.719070	12.717650
ENSMUSG00000000339	6.508149	7.509036	8.334938	7.748854	7.872779	9.202717	8.188470	9.286862
ENSMUSG00000000340	8.684508	11.351010	10.606656	10.367725	9.741015	11.142786	9.317415	11.692587
ENSMUSG00000000346	23.643259	24.215582	24.702250	25.621922	27.936317	26.544655	28.727385	24.192240
ENSMUSG00000000355	14.743993	17.921112	18.140936	20.114098	18.925797	18.334103	18.261654	17.740074
ENSMUSG00000000359	1.048352	0.944259	1.381684	0.987509	0.573958	0.574001	0.791499	0.373676
ENSMUSG00000000365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000374	9.826019	10.887647	10.623133	10.307368	9.854386	9.481671	9.517899	9.137284
ENSMUSG00000000378	4.683353	6.223786	6.084189	5.338672	6.718375	3.828495	5.670187	5.775464
ENSMUSG00000000381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000384	12.614832	15.326190	13.766027	14.050219	12.753138	13.604662	12.697740	13.116014
ENSMUSG00000000385	0.000000	0.0	0.0	0.000000	0.000000	0.046103	0.044876	0.0
ENSMUSG00000000386	0.115020	0.000000	0.094414	0.000000	0.137620	0.143249	0.000000	0.000000
ENSMUSG00000000392	2.544053	2.398943	2.599152	3.134574	1.855668	1.669067	2.527277	2.299723
ENSMUSG00000000394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000399	87.054214	99.925011	98.597755	96.936989	92.120972	99.723984	94.100494	97.344833
ENSMUSG00000000402	0.307878	0.149640	0.000000	0.148716	0.000000	0.0	0.091854	0.000000
ENSMUSG00000000409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000000
ENSMUSG00000000411	0.0	0.0	0.000000	0.0	0.000000	0.066195	0.192932	0.145495
ENSMUSG00000000416	0.397728	0.401713	0.314330	0.284152	0.156706	0.503142	0.498053	0.593335
ENSMUSG00000000420	23.267673	24.529486	23.765041	24.770214	22.235039	23.979216	25.936596	24.952990
ENSMUSG00000000435	0.389780	0.505544	0.717459	0.400209	0.498445	0.569708	0.215309	0.172328
ENSMUSG00000000439	8.482191	10.638437	8.974333	10.512623	10.098682	9.513552	9.940777	10.124347
ENSMUSG00000000440	1.944591	2.357054	2.185808	2.402163	1.193670	1.023506	0.934109	0.416855
ENSMUSG00000000441	25.817308	29.110680	30.527632	30.406191	29.541819	27.202114	28.129913	28.517200
ENSMUSG00000000486	1.397667	0.864122	0.540750	1.374716	0.816295	1.076496	0.182536	0.580130
ENSMUSG00000000489	4.460471	5.841788	5.649124	5.878511	4.044104	4.255879	3.890842	4.298640
ENSMUSG00000000530	4.703662	4.416856	2.955138	4.052162	4.324594	3.773929	3.306456	2.341420
ENSMUSG00000000531	2.201005	1.335525	1.675177	2.436502	2.133695	1.689952	1.755064	1.916594
ENSMUSG00000000532	14.702480	8.172652	9.209387	9.438781	7.826127	11.021618	10.737903	8.788443
ENSMUSG00000000538	15.296032	15.759447	15.302093	15.072808	15.909584	16.184774	17.225296	19.114853
ENSMUSG00000000544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000552	5.430128	5.325952	6.297935	9.427578	2.703761	3.554527	2.351082	1.994070
ENSMUSG00000000555	2.652645	3.678404	3.886824	3.990664	3.191078	2.687612	4.084922	3.170015
ENSMUSG00000000560	0.014074	0.027721	0.000000	0.0	0.000000	0.037976	0.0	0.019952
ENSMUSG00000000561	5.702952	6.042053	6.130934	6.678618	5.488620	6.641620	6.555147	7.069759
ENSMUSG00000000562	0.034357	0.000000	0.0	0.0	0.034560	0.053525	0.106609	0.0
ENSMUSG00000000563	204.980621	235.502563	223.268692	226.408783	205.823013	229.160599	218.929169	230.752655
ENSMUSG00000000567	0.434462	0.291881	0.254030	0.667589	0.293746	0.399163	0.308452	0.244211
ENSMUSG00000000568	10.323721	11.066977	12.723962	12.443260	12.177377	11.367047	13.324264	11.478214
ENSMUSG00000000579	2.414066	2.947797	2.766653	2.562070	2.481841	2.257902	2.798948	2.929975
ENSMUSG00000000581	8.795272	9.216403	10.417312	12.304264	10.569852	9.699295	11.353439	10.549960
ENSMUSG00000000594	2.901766	3.113704	3.372307	3.552365	2.901545	3.197731	3.001663	2.626176
ENSMUSG00000000600	5.714056	5.572680	5.019388	6.125609	5.814298	5.314652	5.503820	4.701766
ENSMUSG00000000605	10.007524	11.288896	10.560199	11.224494	9.201901	10.394820	10.585782	8.514324
ENSMUSG00000000606	0.0	0.0	0.000000	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000617	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000627	0.000000	0.000000	0.000000	0.000000	0.000000	0.031045	0.000000	0.000000
ENSMUSG00000000628	57.202137	58.452335	56.675121	55.537685	56.287231	57.976322	69.656425	56.204136
ENSMUSG00000000631	70.677124	83.958992	81.499252	73.097908	84.329590	69.716812	75.244759	88.669708
ENSMUSG00000000632	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.000000
ENSMUSG00000000673	0.039985	0.057391	0.0	0.000000	0.000000	0.000000	0.000000	0.000000
ENSMUSG00000000682	0.000000	0.000000	0.527754	0.329806	0.317798	0.000000	0.161072	0.0
ENSMUSG00000000686	0.189723	0.588602	0.089914	0.270104	0.213857	0.125135	0.308192	0.087468
ENSMUSG00000000690	0.502510	0.322602	0.494442	0.448979	0.472488	0.508576	0.441776	0.481243
ENSMUSG00000000693	1.574721	1.677703	1.080821	1.318222	0.822146	0.760886	1.106064	0.383762
ENSMUSG00000000701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000708	19.191086	19.351559	20.151583	18.671310	20.423038	19.145744	21.008888	18.889280
ENSMUSG00000000711	28.024113	28.163645	29.023922	27.609221	31.009405	29.452038	30.997580	30.982437
